Control,State,County,Type,Type,Date,Post Data,Parcels
11345,AL,Lauderdale,Lien,n/a,5/5/2015,4/9/2015,516
3812,AL,Lee,Lien,n/a,5/1/2013,4/8/2013,644
7900,AL,Lee,Lien,n/a,5/7/2014,4/4/2014,782
11303,AL,Lee,Lien,n/a,5/6/2015,4/1/2015,613
14616,AL,Limestone,Lien,n/a,5/17/2016,4/5/2016,214
4118,AL,Madison,Lien,OTC,N/A,5/15/2013,31
3762,AL,Madison,Lien,n/a,5/3/2013,4/1/2013,1509
7882,AL,Madison,Lien,n/a,5/2/2014,4/3/2014,1374
11346,AL,Madison,Lien,n/a,5/1/2015,4/9/2015,1203
14605,AL,Marengo,Lien,n/a,5/3/2016,4/4/2016,118
3843,AL,Marion,Lien,n/a,5/13/2013,4/15/2013,37
8077,AL,Marion,Lien,n/a,5/12/2014,4/21/2014,149
8149,AL,Marion,Lien,n/a,5/12/2014,4/28/2014,148
11453,AL,Marion,Lien,n/a,5/18/2015,4/21/2015,213
14724,AL,Marion,Lien,n/a,5/10/2016,4/19/2016,137
3844,AL,Marshall,Lien,n/a,5/3/2013,4/15/2013,495
7996,AL,Marshall,Lien,n/a,5/1/2014,4/15/2014,519
3964,AL,Mobile,Lien,n/a,5/30/2013,4/24/2013,6479
11656,AL,Mobile,Lien,n/a,5/28/2015,5/8/2015,4630
3801,AL,Monroe,Lien,n/a,5/6/2013,4/4/2013,224
7919,AL,Monroe,Lien,n/a,5/5/2014,4/8/2014,136
11327,AL,Monroe,Lien,n/a,5/4/2015,4/7/2015,150
14589,AL,Monroe,Lien,n/a,5/2/2016,3/31/2016,218
4119,AL,Montgomery,Lien,n/a,6/5/2013,5/15/2013,1775
11829,AL,Montgomery,Lien,n/a,6/3/2015,5/22/2015,1424
11364,AL,Morgan,Lien,n/a,5/19/2015,4/13/2015,1
3833,AL,Pickens,Lien,n/a,4/29/2013,4/11/2013,101
14552,AL,Pickens,Lien,n/a,4/27/2016,3/25/2016,107
4050,AL,Pike,Lien,n/a,5/31/2013,5/7/2013,115
8238,AL,Pike,Lien,n/a,6/6/2014,5/8/2014,116
11610,AL,Pike,Lien,n/a,6/5/2015,5/5/2015,100
14818,AL,Pike,Lien,n/a,6/3/2016,5/6/2016,100
7810,AL,Russell,Lien,n/a,5/5/2014,3/27/2014,339
11328,AL,Russell,Lien,n/a,5/4/2015,4/7/2015,326
14553,AL,Russell,Lien,n/a,5/2/2016,3/25/2016,508
3802,AL,St. Clair,Lien,n/a,5/6/2013,4/4/2013,1197
7908,AL,St. Clair,Lien,n/a,5/5/2014,4/7/2014,807
11347,AL,St. Clair,Lien,n/a,5/4/2015,4/9/2015,1668
14725,AL,St. Clair,Lien,n/a,5/10/2016,4/19/2016,584
3808,AL,Sumter,Lien,n/a,5/9/2013,4/5/2013,163
14726,AL,Sumter,Lien,n/a,5/24/2016,4/19/2016,103
3813,AL,Talladega,Lien,n/a,5/7/2013,4/8/2013,1311
7901,AL,Talladega,Lien,n/a,5/6/2014,4/4/2014,1452
11348,AL,Talladega,Lien,n/a,5/6/2015,4/9/2015,2051
3967,AL,Tuscaloosa,Deed,n/a,5/28/2013,4/25/2013,596
3944,AL,Walker,Lien,n/a,5/6/2013,4/22/2013,361
7940,AL,Walker,Lien,n/a,5/5/2014,4/10/2014,237
14600,AL,Walker,Lien,n/a,5/2/2016,4/1/2016,820
3822,AL,Wilcox,Lien,n/a,5/2/2013,4/9/2013,182
7941,AL,Wilcox,Lien,n/a,5/2/2014,4/10/2014,161
14727,AL,Wilcox,Lien,n/a,5/6/2016,4/19/2016,163
3834,AL,Winston,Lien,n/a,5/9/2013,4/11/2013,182
796,AR,Arkansas,Deed,OTC,12/14/2012,n/a,15
734,AR,Arkansas,Deed,OTC,4/12/2013,n/a,13
795,AR,Arkansas,Deed,OTC,6/20/2013,n/a,15
619,AR,Arkansas,Deed,OTC,1/8/2014,n/a,9
1145,AR,Arkansas,Deed,OTC,9/11/2014,n/a,45
524,AR,Arkansas,Deed,OTC,12/30/2014,n/a,7
733,AR,Arkansas,Deed,OTC,11/3/2015,n/a,13
4626,AR,Arkansas,Deed,n/a,7/2/2013,6/21/2013,41
7565,AR,Arkansas,Deed,n/a,5/29/2014,2/28/2014,59
11017,AR,Arkansas,Deed,n/a,4/28/2015,2/26/2015,159
14363,AR,Arkansas,Deed,n/a,4/27/2016,2/29/2016,67
1146,AR,Ashley,Deed,OTC,12/14/2012,n/a,45
1109,AR,Ashley,Deed,OTC,4/12/2013,n/a,41
1108,AR,Ashley,Deed,OTC,6/20/2013,n/a,41
4790,AR,Ashley,Deed,OTC,9/10/2013,7/4/2013,24
1120,AR,Ashley,Deed,OTC,1/8/2014,n/a,42
1469,AR,Ashley,Deed,OTC,9/11/2014,n/a,159
1176,AR,Ashley,Deed,OTC,12/30/2014,n/a,50
1175,AR,Ashley,Deed,OTC,11/3/2015,n/a,50
8041,AR,Ashley,Deed,n/a,7/15/2014,4/18/2014,57
11523,AR,Ashley,Deed,n/a,7/21/2015,4/29/2015,60
15130,AR,Ashley,Deed,n/a,8/2/2016,7/22/2016,70
1762,AR,Baxter,Deed,OTC,12/14/2012,n/a,787
1748,AR,Baxter,Deed,OTC,4/12/2013,n/a,743
1728,AR,Baxter,Deed,OTC,6/20/2013,n/a,678
1759,AR,Baxter,Deed,OTC,1/8/2014,n/a,781
1888,AR,Baxter,Deed,OTC,9/11/2014,n/a,2294
1764,AR,Baxter,Deed,OTC,12/30/2014,n/a,790
1768,AR,Baxter,Deed,OTC,11/3/2015,n/a,815
4627,AR,Baxter,Deed,n/a,7/23/2013,6/21/2013,207
8871,AR,Baxter,Deed,n/a,8/12/2014,6/23/2014,195
12466,AR,Baxter,Deed,n/a,8/18/2015,7/23/2015,191
15142,AR,Baxter,Deed,n/a,9/13/2016,7/25/2016,253
1541,AR,Benton,Deed,OTC,12/14/2012,n/a,238
1428,AR,Benton,Deed,OTC,4/12/2013,n/a,134
1408,AR,Benton,Deed,OTC,6/20/2013,n/a,122
4791,AR,Benton,Deed,OTC,9/3/2013,7/4/2013,441
1490,AR,Benton,Deed,OTC,1/8/2014,n/a,181
1549,AR,Benton,Deed,OTC,9/11/2014,n/a,253
1524,AR,Benton,Deed,OTC,12/30/2014,n/a,223
1624,AR,Benton,Deed,OTC,11/3/2015,n/a,380
8042,AR,Benton,Deed,n/a,6/4/2014,4/18/2014,569
11524,AR,Benton,Deed,n/a,6/3/2015,4/29/2015,461
14763,AR,Benton,Deed,n/a,6/8/2016,4/25/2016,601
1691,AR,Boone,Deed,OTC,12/14/2012,n/a,501
1685,AR,Boone,Deed,OTC,4/12/2013,n/a,493
1386,AR,Boone,Deed,OTC,6/20/2013,n/a,107
5467,AR,Boone,Deed,OTC,10/15/2013,8/24/2013,93
1710,AR,Boone,Deed,OTC,1/8/2014,n/a,565
1711,AR,Boone,Deed,OTC,9/11/2014,n/a,583
1709,AR,Boone,Deed,OTC,12/30/2014,n/a,564
1722,AR,Boone,Deed,OTC,11/3/2015,n/a,621
4628,AR,Boone,Deed,n/a,7/17/2013,6/21/2013,134
8043,AR,Boone,Deed,n/a,7/9/2014,4/18/2014,78
11525,AR,Boone,Deed,n/a,7/15/2015,4/29/2015,129
14775,AR,Boone,Deed,n/a,7/27/2016,4/28/2016,140
5020,AR,Bradford,Deed,OTC,9/10/2013,7/20/2013,23
980,AR,Bradley,Deed,OTC,12/14/2012,n/a,28
952,AR,Bradley,Deed,OTC,4/12/2013,n/a,26
951,AR,Bradley,Deed,OTC,6/22/2013,n/a,26
4792,AR,Bradley,Deed,OTC,9/10/2013,7/4/2013,11
5021,AR,Bradley,Deed,OTC,9/10/2013,7/20/2013,11
1030,AR,Bradley,Deed,OTC,1/8/2014,n/a,32
1054,AR,Bradley,Deed,OTC,9/11/2014,n/a,34
1042,AR,Bradley,Deed,OTC,12/30/2014,n/a,33
1018,AR,Bradley,Deed,OTC,11/3/2015,n/a,31
8044,AR,Bradley,Deed,n/a,7/16/2014,4/18/2014,32
11526,AR,Bradley,Deed,n/a,7/22/2015,4/29/2015,51
15131,AR,Bradley,Deed,n/a,8/3/2016,7/22/2016,54
4766,AR,Calhoun,Deed,Negotiated Sale,8/27/2013,7/1/2013,5
386,AR,Calhoun,Deed,OTC,12/14/2012,n/a,5
385,AR,Calhoun,Deed,OTC,4/12/2013,n/a,5
384,AR,Calhoun,Deed,OTC,6/22/2013,n/a,5
580,AR,Calhoun,Deed,OTC,1/8/2014,n/a,8
798,AR,Calhoun,Deed,OTC,9/11/2014,n/a,15
764,AR,Calhoun,Deed,OTC,12/30/2014,n/a,14
797,AR,Calhoun,Deed,OTC,11/3/2015,n/a,15
3578,AR,Calhoun,Deed,n/a,5/29/2013,3/6/2013,18
8045,AR,Calhoun,Deed,n/a,7/16/2014,4/18/2014,14
11527,AR,Calhoun,Deed,n/a,7/22/2015,4/29/2015,17
15132,AR,Calhoun,Deed,n/a,8/3/2016,7/22/2016,23
1738,AR,Carroll,Deed,OTC,12/14/2012,n/a,719
1737,AR,Carroll,Deed,OTC,4/12/2013,n/a,717
1736,AR,Carroll,Deed,OTC,6/22/2013,n/a,716
4793,AR,Carroll,Deed,OTC,9/2/2013,7/4/2013,126
1770,AR,Carroll,Deed,OTC,1/8/2014,n/a,833
1780,AR,Carroll,Deed,OTC,9/11/2014,n/a,853
1775,AR,Carroll,Deed,OTC,12/30/2014,n/a,844
1812,AR,Carroll,Deed,OTC,11/3/2015,n/a,1172
8046,AR,Carroll,Deed,n/a,6/3/2014,4/18/2014,40
11528,AR,Carroll,Deed,n/a,6/2/2015,4/29/2015,369
14764,AR,Carroll,Deed,n/a,6/7/2016,4/25/2016,307
1527,AR,Chicot,Deed,OTC,12/14/2012,n/a,225
1521,AR,Chicot,Deed,OTC,4/12/2013,n/a,213
1509,AR,Chicot,Deed,OTC,6/22/2013,n/a,206
4794,AR,Chicot,Deed,OTC,7/30/2013,7/4/2013,57
1542,AR,Chicot,Deed,OTC,1/8/2014,n/a,238
1605,AR,Chicot,Deed,OTC,9/11/2014,n/a,350
1598,AR,Chicot,Deed,OTC,12/30/2014,n/a,342
1616,AR,Chicot,Deed,OTC,11/3/2015,n/a,370
3579,AR,Chicot,Deed,n/a,5/1/2013,3/6/2013,108
7566,AR,Chicot,Deed,n/a,5/7/2014,2/28/2014,177
11018,AR,Chicot,Deed,n/a,5/20/2015,2/26/2015,114
14364,AR,Chicot,Deed,n/a,5/4/2016,2/29/2016,205
4767,AR,Clark,Deed,Negotiated Sale,8/21/2013,7/1/2013,28
1103,AR,Clark,Deed,OTC,12/14/2012,n/a,40
1102,AR,Clark,Deed,OTC,4/12/2013,n/a,40
1093,AR,Clark,Deed,OTC,6/22/2013,n/a,39
1121,AR,Clark,Deed,OTC,1/8/2014,n/a,42
1160,AR,Clark,Deed,OTC,9/11/2014,n/a,48
1139,AR,Clark,Deed,OTC,12/30/2014,n/a,44
1193,AR,Clark,Deed,OTC,11/3/2015,n/a,53
3580,AR,Clark,Deed,n/a,5/23/2013,3/6/2013,50
7547,AR,Clark,Deed,n/a,4/22/2014,2/27/2014,55
11019,AR,Clark,Deed,n/a,4/21/2015,2/26/2015,243
14348,AR,Clark,Deed,n/a,4/20/2016,2/26/2016,45
851,AR,Clay,Deed,OTC,12/14/2012,n/a,18
837,AR,Clay,Deed,OTC,4/12/2013,n/a,17
810,AR,Clay,Deed,OTC,6/22/2013,n/a,16
892,AR,Clay,Deed,OTC,1/8/2014,n/a,21
992,AR,Clay,Deed,OTC,9/11/2014,n/a,29
904,AR,Clay,Deed,OTC,12/30/2014,n/a,22
903,AR,Clay,Deed,OTC,11/3/2015,n/a,22
4629,AR,Clay,Deed,n/a,8/6/2013,6/21/2013,27
8047,AR,Clay,Deed,n/a,7/22/2014,4/18/2014,45
11529,AR,Clay,Deed,n/a,7/28/2015,4/29/2015,49
15133,AR,Clay,Deed,n/a,8/9/2016,7/22/2016,39
1560,AR,Cleburne,Deed,OTC,12/14/2012,n/a,263
